"search-number","evaluation","evals-requested-so-far","number*","%-similar-wanted*","number-of-ethnicities*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","1","160","1240","4","2","""-1641221554""","9.758064516129032","9.758064516129032","9.758064516129032","0","9.758064516129032"
"1","2","160","1240","4","2","""-1762747042""","12.822580645161292","12.822580645161292","12.822580645161292","0","12.822580645161292"
"1","3","160","1240","4","2","""-1109943980""","11.774193548387096","11.774193548387096","11.774193548387096","0","11.774193548387096"
"1","4","160","1240","4","2","""-1904085497""","10.806451612903226","10.806451612903226","10.806451612903226","0","10.806451612903226"
"1","5","160","1240","4","2","""-437291416""","13.629032258064516","13.629032258064516","13.629032258064516","0","13.629032258064516"
"1","6","160","1240","4","2","""857037014""","10.241935483870968","10.241935483870968","10.241935483870968","0","10.241935483870968"
"1","7","160","1240","4","2","""-1696419822""","11.774193548387096","11.774193548387096","11.774193548387096","0","11.774193548387096"
"1","8","160","1240","4","2","""-307402853""","10.967741935483872","10.967741935483872","10.967741935483872","0","10.967741935483872"
"1","9","160","1240","4","2","""1442732195""","11.129032258064516","11.129032258064516","11.129032258064516","0","11.129032258064516"
"1","10","160","1240","4","2","""1649717733""","10.483870967741936","10.483870967741936","10.483870967741936","0","10.483870967741936"
"1","11","160","830","18","3","""1415632356""","35.42168674698795","35.42168674698795","35.42168674698795","0","35.42168674698795"
"1","12","160","830","18","3","""730743979""","37.83132530120482","37.83132530120482","37.83132530120482","0","37.83132530120482"
"1","13","160","830","18","3","""-1329962723""","34.81927710843373","34.81927710843373","34.81927710843373","0","34.81927710843373"
"1","14","160","830","18","3","""-1509551117""","37.95180722891566","37.95180722891566","37.95180722891566","0","37.95180722891566"
"1","15","160","830","18","3","""-57254232""","35.30120481927711","35.30120481927711","35.30120481927711","0","35.30120481927711"
"1","16","160","830","18","3","""-2054263055""","35.78313253012048","35.78313253012048","35.78313253012048","0","35.78313253012048"
"1","17","160","830","18","3","""1330965670""","38.0722891566265","38.0722891566265","38.0722891566265","0","38.0722891566265"
"1","18","160","830","18","3","""928275372""","36.506024096385545","36.506024096385545","36.506024096385545","0","36.506024096385545"
"1","19","160","830","18","3","""1708295628""","37.71084337349397","37.71084337349397","37.71084337349397","0","37.71084337349397"
"1","20","160","830","18","3","""-815458776""","36.265060240963855","36.265060240963855","36.265060240963855","0","36.265060240963855"
"1","21","160","2090","76","3","""726485783""","49.55555555555556","98.89952153110048","79.60661390080347","17.470768050916288","49.55555555555556"
"1","22","160","2090","76","3","""1212222134""","43.506493506493506","99.28229665071771","78.73452890548067","19.895833016714956","43.506493506493506"
"1","23","160","2090","76","3","""-975454639""","40.476190476190474","98.66028708133972","75.534799600068","19.76980177637315","40.476190476190474"
"1","24","160","2090","76","3","""-787204333""","47.161572052401745","98.40613931523022","79.27475201529874","17.71765702248246","47.161572052401745"
"1","25","160","2090","76","3","""-1484371755""","47.30021598272138","98.61244019138756","79.46634453927864","17.042717468790563","47.30021598272138"
"1","26","160","2090","76","3","""-611745373""","49.38775510204081","98.70435806831567","83.00433719480823","16.657760561536133","49.38775510204081"
"1","27","160","2090","76","3","""1048802798""","44.469026548672566","98.42105263157895","78.32420212177897","18.952369891161975","44.469026548672566"
"1","28","160","2090","76","3","""-132595666""","48.20295983086681","99.00410076157","79.84034852691755","17.574627872915038","48.20295983086681"
"1","29","160","2090","76","3","""-1147005703""","43.90756302521008","98.22904368358914","78.88782487855651","17.722449963597292","43.90756302521008"
"1","30","160","2090","76","3","""1400479136""","49.18032786885246","98.85167464114832","80.87113930413416","17.650539166543552","49.18032786885246"
"1","31","160","1420","52","2","""-1018946197""","35.70219966159052","58.80281690140845","47.25250828149949","16.334603099870122","35.70219966159052"
"1","32","160","1420","52","2","""1676913190""","36.17021276595745","58.732394366197184","47.451303566077314","15.953871607891866","36.17021276595745"
"1","33","160","1420","52","2","""1575137767""","38.20794590025359","59.78873239436619","48.99833914730989","15.25992047332608","38.20794590025359"
"1","34","160","1420","52","2","""-1081322940""","33.58522250209908","59.08450704225352","46.3348647721763","18.0307170137485","33.58522250209908"
"1","35","160","1420","52","2","""1369795842""","32.19349457881568","57.25352112676057","44.723507852788124","17.720114708766737","32.19349457881568"
"1","36","160","1420","52","2","""-1902652435""","35.07588532883643","58.943661971830984","47.009773650333706","16.877066716107343","35.07588532883643"
"1","37","160","1420","52","2","""881236229""","36.53198653198653","60.84507042253521","48.688528477260874","17.191946490564376","36.53198653198653"
"1","38","160","1420","52","2","""800693693""","33.1390507910075","58.309859154929576","45.72445497296854","17.79844928207637","33.1390507910075"
"1","39","160","1420","52","2","""-1010010445""","36.48180242634315","57.183098591549296","46.83245050894622","14.638026897768338","36.48180242634315"
"1","40","160","1420","52","2","""-1226116652""","33.507397737162755","59.08450704225352","46.295952389708134","18.085747432779225","33.507397737162755"
"1","41","160","750","49","5","""-80375472""","44.60431654676259","72.13333333333334","59.49168171918706","11.941015227944241","44.60431654676259"
"1","42","160","750","49","5","""-979890594""","46.82274247491639","71.46666666666667","59.28054931585107","12.32420834278878","46.82274247491639"
"1","43","160","750","49","5","""-1948796571""","40.94076655052265","72.26666666666667","57.34368307793824","13.252524693311699","40.94076655052265"
"1","44","160","750","49","5","""-1943028917""","48.23529411764706","75.73333333333333","61.29329001817689","13.801017407026995","48.23529411764706"
"1","45","160","750","49","5","""-2101085740""","49.667774086378735","71.33333333333334","61.05442319395808","10.875174876161003","49.667774086378735"
"1","46","160","750","49","5","""726421503""","41.14490161001789","72.53333333333333","57.38736800852513","13.614269011842177","41.14490161001789"
"1","47","160","750","49","5","""1800495954""","44.79717813051146","77.06666666666668","59.78786879989066","14.170378168606838","44.79717813051146"
"1","48","160","750","49","5","""1164596487""","41.54929577464789","70.26666666666667","55.209907770091945","12.315386304648031","41.54929577464789"
"1","49","160","750","49","5","""-210087590""","48.45890410958904","78.26666666666667","63.24785252758181","12.956818456284232","48.45890410958904"
"1","50","160","750","49","5","""-682525931""","41.22965641952984","72.39999999999999","56.887560821230856","13.360998748379956","41.22965641952984"
"1","51","160","1770","30","3","""66334232""","46.04519774011299","46.04519774011299","46.04519774011299","0","46.04519774011299"
"1","52","160","1770","30","3","""-933958772""","47.175141242937855","47.175141242937855","47.175141242937855","0","47.175141242937855"
"1","53","160","1770","30","3","""-469122741""","46.94915254237288","46.94915254237288","46.94915254237288","0","46.94915254237288"
"1","54","160","1770","30","3","""1171549484""","44.12429378531073","44.12429378531073","44.12429378531073","0","44.12429378531073"
"1","55","160","1770","30","3","""1829003607""","45.87570621468927","45.87570621468927","45.87570621468927","0","45.87570621468927"
"1","56","160","1770","30","3","""1330999944""","47.40112994350282","47.40112994350282","47.40112994350282","0","47.40112994350282"
"1","57","160","1770","30","3","""-393880164""","45.593220338983045","45.593220338983045","45.593220338983045","0","45.593220338983045"
"1","58","160","1770","30","3","""-981528449""","45.19774011299435","45.19774011299435","45.19774011299435","0","45.19774011299435"
"1","59","160","1770","30","3","""392136152""","45.706214689265536","45.706214689265536","45.706214689265536","0","45.706214689265536"
"1","60","160","1770","30","3","""-1530108026""","43.61581920903955","43.61581920903955","43.61581920903955","0","43.61581920903955"
"1","61","160","570","47","5","""-276875810""","43.92712550607287","65.43859649122807","54.585011658133396","10.757070673125298","43.92712550607287"
