"search-number","evaluation","number*","%-similar-wanted*","number-of-ethnicities*","fitness","num-replicates","best-fitness-so-far","best-fitness-rechecked"
"1","10","1240","4","2","11.338709677419356","10","11.338709677419356","10.749999999999998"
"1","20","830","18","3","36.56626506024096","10","36.56626506024096","35.91566265060241"
"1","30","2090","76","3","46.31476599490054","10","46.31476599490054","46.44525648007972"
"1","40","1420","52","2","35.05951982240527","10","46.31476599490054","46.44525648007972"
"1","50","750","49","5","44.74508298205235","10","46.31476599490054","46.44525648007972"
"1","60","1770","30","3","45.76836158192091","10","46.31476599490054","46.44525648007972"
"1","70","570","47","5","42.140399555078226","10","46.31476599490054","46.44525648007972"
"1","80","2140","55","2","33.3988083907742","10","46.31476599490054","46.44525648007972"
"1","90","1300","22","4","47.4","10","47.4","43.241978550710606"
"1","100","1320","76","4","46.32950499554259","10","47.4","43.241978550710606"
"1","110","1140","97","2","45.153938430365464","10","47.4","43.241978550710606"
"1","120","1240","51","3","43.38714527705791","10","47.4","43.241978550710606"
"1","130","1340","49","3","44.923659655353674","10","47.4","43.241978550710606"
"1","140","1170","1","3","26.35042735042735","10","47.4","43.241978550710606"
"1","150","1680","0","3","0","10","47.4","43.241978550710606"
"1","160","890","41","4","43.00226732602785","10","47.4","43.241978550710606"
"1","170","1270","94","3","46.815014006247864","10","47.4","43.241978550710606"
"1","180","2270","34","5","44.22674743766148","10","47.4","43.241978550710606"
"1","190","1010","90","2","44.98854228531546","10","47.4","43.241978550710606"
"1","200","1760","52","3","44.889962280361416","10","47.4","43.241978550710606"
"1","210","1240","51","5","45.80727778693908","10","47.4","43.241978550710606"
"1","220","1480","16","5","41.26351351351351","10","47.4","43.241978550710606"
"1","230","1190","21","2","15.193277310924367","10","47.4","43.241978550710606"
"1","240","2090","48","4","44.93105568431739","10","47.4","43.241978550710606"
"1","250","2360","16","3","20.21186440677966","10","47.4","43.241978550710606"
"1","260","1000","32","3","45.43000000000001","10","47.4","43.241978550710606"
"1","270","980","34","3","37.18707351955923","10","47.4","43.241978550710606"
"1","280","1340","58","4","45.88093645662479","10","47.4","43.241978550710606"
"1","290","940","54","3","43.91456590091837","10","47.4","43.241978550710606"
"1","300","2400","34","3","29.863828021616264","10","47.4","43.241978550710606"
